hz,model,mean_time
10,decision_tree,6.471887714285458e-06
20,decision_tree,5.349896000000171e-06
25,decision_tree,5.273332428571718e-06
50,decision_tree,1.5037807999999587e-05
100,decision_tree,3.2268005714279624e-06
10,random_forest,2.9177624285713526e-05
20,random_forest,3.1051814285716056e-05
25,random_forest,2.6619445714290383e-05
50,random_forest,3.0016737142857763e-05
100,random_forest,2.5847407142857394e-05
10,svc,0.0004248600857143044
20,svc,0.0007890368571428488
25,svc,0.0009666398999999534
50,svc,0.002158183142857167
100,svc,0.004047057428571667
10,logistic_regression,0.0004663282571429071
20,logistic_regression,0.0009179605857142892
25,logistic_regression,0.0009990693000000062
50,logistic_regression,0.0020000874714285796
100,logistic_regression,0.0038776284285722794
